id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"542S0542000831";"0542000831";"";"542S";"0001-01-01";"1960-10-01";"D";"S";"ASSOCIATION D'EDUCATION POPULAIRE 'A.E.P. ECOLE TROUILLET'";"O";"009025";"000000";"4, rue trouillet";"";"";"54300";"LUNEVILLE";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000845";"0542000845";"";"542S";"0001-01-01";"1961-05-26";"D";"S";"ASSOCIATION FAMILIALE DE BERTRICHAMPS";"Entr'aide familiale";"019000";"000000";"Mairie";"";"";"54120";"BERTRICHAMPS";"PM";"";"W542001351";"R";"";"2014-06-02 09:23:31"
"542S0542000850";"0542000850";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION FAMILIALE RURALE DE MARAINVILLER";"Développer l'entraide familiale par des services communautaires appropriés/";"009035";"000000";"Mairie";"";"";"54300";"MARAINVILLER";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000858";"0542000858";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"ASSOCIATION SPORTIVE DU COLLEGE D'ENSEIGNEMENT GENERAL DE BENAMENIL";"Organiser et favoriser la pratique des sports par les élèves fréquentant l'établissement.";"011010";"000000";"C.E.G.";"";"";"54450";"BENAMENIL";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000859";"0542000859";"";"542S";"0001-01-01";"1961-12-12";"D";"S";"FOYER RURAL DE FRAIMBOIS";"Foyer rural";"000000";"000000";"7, rue Grandjacquot";"";"";"54300";"FRAIMBOIS";"PM";"";"W542005062";"R";"";"2022-02-15 14:31:33"
"542S0542000861";"0542000861";"";"542S";"0001-01-01";"1962-01-11";"D";"S";"ASSOCIATION SAINT JACQUES DE VACANCES ET LOISIRS RURAUX";"O";"007000";"000000";"";"";"";"54360";"EINVAUX";"PM";"";"W542004948";"R";"";"2020-08-03 11:53:57"
"542S0542000867";"0542000867";"";"542S";"0001-01-01";"1962-05-16";"D";"S";"FOYER RURAL DE MORIVILLER";"Foyer rural";"000000";"000000";"";"";"";"54830";"MORIVILLER";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000877";"0542000877";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"CLUB DE NATATION DE BACCARAT";"Encouragement, développement et initiation des jeunes et des adultes à la natation sous toutes ses formes.";"000000";"000000";"Piscine municipale";"";"";"54120";"BACCARAT";"PM";"";"";"D";"";"2006-01-13 14:15:10"
"542S0542000886";"0542000886";"";"542S";"0001-01-01";"1963-02-19";"D";"S";"FOYER RURAL DE PARROY";"Foyer";"000000";"000000";"";"";"";"54370";"PARROY";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000908";"0542000908";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"UNION DES CHASSEURS DE GIBIER D'EAU DE L'EST (U.C.G.E.E.)";"Grouper tous les chasseurs de gibier d'eau des départements de la Haute Marne, de la Meuse, de la Meurthe et Moselle et des Vosges en vue de défendre leurs intérêts, d'unifier les règlementations et modes de chasse dans le sens le plus favorable auxchasseurs.";"013005";"000000";"15, rue Rivolet";"";"";"54300";"LUNEVILLE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000914";"0542000914";"";"542S";"0001-01-01";"1964-03-28";"D";"S";"FOYER RURAL DE FAMILLE ET DES JEUNES DE LANDECOURT";"Foyer rural";"000000";"000000";"Chez Mme BABEL Marguerite";"1, rue des Marronniers";"";"54360";"LANDECOURT";"PM";"";"W542001347";"R";"";"2014-05-12 10:43:54"
"542S0542000921";"0542000921";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"L'AMICALE DE L'ESPERANCE DE LA VEZOUZE DE CIREY";"Resserer les liens de camaraderie entre dirigeants, instructeurs et exécutants, par des réunions, excursions, fêtes et autres manifestations amicales semblable.";"006030";"000000";"Mairie";"";"";"54480";"CIREY-SUR-VEZOUZE";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542000952";"0542000952";"";"542S";"0001-01-01";"1965-05-06";"D";"S";"UNION SPORTIVE DE XOUSSE";"Educ.physiqu sport";"000000";"000000";"";"";"";"54370";"XOUSSE";"PM";"";"W542001403";"R";"";"2014-12-03 10:38:47"
"542S0542000963";"0542000963";"";"542S";"0001-01-01";"1965-06-22";"D";"S";"'FAMILLES RURALES' ASSOCIATION D'EINVILLE ET DES ENVIRONS";"Familiale rural";"000000";"000000";"Mairie";"";"";"54370";"EINVILLE-AU-JARD";"PM";"";"W542004893";"R";"";"2019-04-30 09:44:58"
"542S0542000966";"0542000966";"";"542S";"0001-01-01";"1965-07-07";"D";"S";"FEDERATION DES CONSEILS DE PARENTS D'ELEVES, SECTION DE BLAINVILLE -DAMELEVIERES";"Parent eleve enseignement";"000000";"000000";"2 bis, rue jean moulin";"";"";"54360";"DAMELEVIERES";"PM";"";"W542001518";"R";"";"2015-12-21 08:44:34"
"542S0542000975";"0542000975";"";"542S";"0001-01-01";"1965-08-28";"D";"S";"SOCIETE COMMUNALE DE CHASSE DE BROUVILLE";"O";"007000";"000000";"";"";"";"54120";"BROUVILLE";"PM";"";"reprise auto => date publication création au JO à vérifier";"D";"";"2006-01-13 14:15:08"
"542S0542000984";"0542000984";"";"542S";"0001-01-01";"1965-10-24";"D";"S";"ETOILE CYCLISTE DE LA VEZOUZE";"Sport cyclisme";"011180";"000000";"Mairie";"";"";"54480";"CIREY-SUR-VEZOUZE";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542000999";"0542000999";"";"542S";"0001-01-01";"1966-02-23";"D";"S";"MAISON DES JEUNES ET DE LA CULTURE DE BERTRICHAMPS";"Mjc";"009005";"000000";"Maison des jeunes";"45, rue du gl leclerc";"";"54120";"BERTRICHAMPS";"PM";"";"W542001828";"R";"";"2018-08-16 11:53:40"
"542S0542001007";"0542001007";"";"542S";"0001-01-01";"1966-04-02";"D";"S";"SYNDICAT D'INITIATIVES DU CANTON DE BACCARAT";"O";"034240";"000000";"Mairie";"";"";"54120";"BACCARAT";"PM";"";"reprise auto => date publication création au JO à vérifier";"D";"";"2006-01-13 14:15:08"
"542S0542001011";"0542001011";"";"542S";"0001-01-01";"1966-05-27";"D";"S";"FAMILLES RURALES, ASSOCIATION DE CHENEVIERES";"Fam.rurales";"000000";"000000";"Foyer rural. route nationale";"";"";"54120";"CHENEVIERES";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542001014";"0542001014";"";"542S";"0001-01-01";"1966-07-09";"D";"S";"ENTENTE SPORTIVE LUNEVILLE SIXTE";"Football - entente sportive luneville sixte";"011075";"000000";"64, rue de viller";"Salle pierre marchais";"";"54300";"LUNEVILLE";"PM";"";"W542004894";"R";"";"2019-04-30 09:54:59"
"542S0542001017";"0542001017";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"SOCIETE COMMUNALE DE CHASSE";"Exercice de la chasse, destruction des nuisibles et établissement d'une réglementation visant à la mise en valeur cynégétique du territoire.";"013005";"000000";"Mairie";"";"";"54300";"REHAINVILLER";"PM";"";"";"A";"";"2006-01-13 14:15:10"
"542S0542001035";"0542001035";"";"542S";"0001-01-01";"1967-05-07";"D";"S";"COMITE DEPARTEMENTAL DE MEURTHE ET MOSELLE DE TENNIS DE TABLE";"O";"011165";"000000";"Chez monsieur jean meline";"17, rue d'alsace";"";"54360";"DAMELEVIERES";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542001041";"0542001041";"";"542S";"0001-01-01";"1967-07-09";"D";"S";"ASSOCIATION BON ACCUEIL";"Cinema";"000000";"000000";"Mairie";"";"";"54450";"BLAMONT";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542001050";"0542001050";"";"542S";"0001-01-01";"1968-01-17";"D";"S";"FOYER RURAL-ENTENTE SPORTIVE AVRICOURT";"Foyer rural";"000000";"000000";"";"";"";"54450";"AVRICOURT";"PM";"";"reprise auto => date publication création au JO à vérifier";"A";"";"2006-01-13 14:15:08"
"542S0542001059";"0542001059";"";"542S";"0001-01-01";"0001-01-01";"D";"S";"SOCIETE D'ARCHEOLOGIE ET D'HISTOIRE LOCALE DU CANTON DE GERBEVILLER";"Etude de tout ce qui concerne : l'archéologie, l'histoire, la géographie, l'art, la littérature, le folklore, l'histoire naturelle de la région de Gerbéviller, et, en général, tout ce qui peut contribuer à l'education populaire.";"006000";"010015";"Mairie";"";"";"54830";"GERBEVILLER";"PM";"";"W542001636";"R";"";"2017-07-10 11:43:04"
