Code_departement,Libelle_departement,Code_Nuance,Voix_T1,pct_Voix_Ins_T1,pct_Voix_Exp_T1,Sieges_T1,Voix_T2,pct_Voix_Ins_T2,pct_Voix_Exp_T2,Sieges_T2
14,CALVADOS,AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CALVADOS,CEN,0.0,12181.0,2.48,4.23,0.0,13734.0,2.8,4.87
14,CALVADOS,DVD,0.0,3896.0,0.79,1.35,0.0,0.0,0.0,0.0
14,CALVADOS,DVG,0.0,10589.0,2.16,3.68,0.0,0.0,0.0,0.0
14,CALVADOS,ECO,0.0,688.0,0.14,0.24,0.0,0.0,0.0,0.0
14,CALVADOS,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CALVADOS,EXG,0.0,3450.0,0.7,1.2,0.0,0.0,0.0,0.0
14,CALVADOS,FG,0.0,17014.0,3.47,5.91,0.0,0.0,0.0,0.0
14,CALVADOS,FN,0.0,31865.0,6.49,11.07,0.0,0.0,0.0,0.0
14,CALVADOS,NCE,0.0,23897.0,4.87,8.3,0.0,21934.0,4.47,7.77
14,CALVADOS,PRV,0.0,496.0,0.1,0.17,0.0,0.0,0.0,0.0
14,CALVADOS,RDG,0.0,22826.0,4.65,7.93,1.0,29570.0,6.02,10.48
14,CALVADOS,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CALVADOS,SOC,0.0,68706.0,14.0,23.87,3.0,94292.0,19.21,33.41
14,CALVADOS,UMP,0.0,72103.0,14.69,25.05,1.0,96997.0,19.76,34.37
14,CALVADOS,VEC,0.0,20164.0,4.11,7.0,1.0,25683.0,5.23,9.1
15,CANTAL,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CANTAL,AUT,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CANTAL,CEN,0.0,1356.0,1.12,1.8,0.0,0.0,0.0,0.0
15,CANTAL,DVD,0.0,754.0,0.62,1.0,0.0,0.0,0.0,0.0
15,CANTAL,DVG,0.0,805.0,0.67,1.07,0.0,0.0,0.0,0.0
15,CANTAL,ECO,0.0,133.0,0.11,0.18,0.0,0.0,0.0,0.0
15,CANTAL,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CANTAL,EXG,0.0,294.0,0.24,0.39,0.0,0.0,0.0,0.0
15,CANTAL,FG,0.0,2054.0,1.7,2.73,0.0,0.0,0.0,0.0
15,CANTAL,FN,0.0,4226.0,3.5,5.62,0.0,0.0,0.0,0.0
15,CANTAL,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CANTAL,PRV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CANTAL,RDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CANTAL,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,CANTAL,SOC,0.0,29780.0,24.64,39.62,1.0,21883.0,33.96,51.63
15,CANTAL,UMP,1.0,34166.0,28.27,45.45,0.0,20500.0,31.82,48.37
15,CANTAL,VEC,0.0,1600.0,1.32,2.13,0.0,0.0,0.0,0.0
16,CHARENTE,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,CHARENTE,AUT,0.0,799.0,0.31,0.54,0.0,0.0,0.0,0.0
16,CHARENTE,CEN,0.0,3331.0,1.28,2.24,0.0,0.0,0.0,0.0
16,CHARENTE,DVD,0.0,4531.0,1.74,3.05,0.0,0.0,0.0,0.0
16,CHARENTE,DVG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,CHARENTE,ECO,0.0,434.0,0.17,0.29,0.0,0.0,0.0,0.0
16,CHARENTE,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,CHARENTE,EXG,0.0,1047.0,0.4,0.7,0.0,0.0,0.0,0.0
16,CHARENTE,FG,0.0,8416.0,3.22,5.66,0.0,0.0,0.0,0.0
16,CHARENTE,FN,0.0,16590.0,6.36,11.16,0.0,0.0,0.0,0.0
16,CHARENTE,NCE,0.0,257.0,0.1,0.17,0.0,0.0,0.0,0.0
16,CHARENTE,PRV,0.0,85.0,0.03,0.06,0.0,0.0,0.0,0.0
16,CHARENTE,RDG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,CHARENTE,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,CHARENTE,SOC,2.0,73157.0,28.03,49.19,1.0,26733.0,31.53,57.08
16,CHARENTE,UMP,0.0,35456.0,13.58,23.84,0.0,20099.0,23.7,42.92
16,CHARENTE,VEC,0.0,4618.0,1.77,3.11,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,AUT,0.0,244.0,0.05,0.09,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,CEN,0.0,3885.0,0.82,1.41,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,DVD,0.0,2760.0,0.59,1.0,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,DVG,0.0,25784.0,5.47,9.36,1.0,38545.0,8.17,14.06
17,CHARENTE MARITIME,ECO,0.0,1873.0,0.4,0.68,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,EXD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,EXG,0.0,1560.0,0.33,0.57,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,FG,0.0,11776.0,2.5,4.28,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,FN,0.0,30456.0,6.46,11.06,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,NCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,PRV,0.0,1117.0,0.24,0.41,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,RDG,0.0,21637.0,4.59,7.86,0.0,27866.0,5.91,10.16
17,CHARENTE MARITIME,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,CHARENTE MARITIME,SOC,0.0,75248.0,15.95,27.33,2.0,103527.0,21.95,37.76
17,CHARENTE MARITIME,UMP,0.0,90546.0,19.2,32.88,2.0,104201.0,22.09,38.01
17,CHARENTE MARITIME,VEC,0.0,8475.0,1.8,3.08,0.0,0.0,0.0,0.0
18,CHER,ALLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
